UnitID,Institution Name,Total price for in-district students living on campus  2024-25 (DRVCOST2024),Total price for in-state students living on campus 2024-25 (DRVCOST2024),Total price for in-district students living off campus (not with family)  2024-25 (DRVCOST2024),Total price for in-state students living off campus (not with family)  2024-25 (DRVCOST2024),Total price for in-district students living off campus (with family)  2024-25 (DRVCOST2024),Total price for in-state students living off campus (with family)  2024-25 (DRVCOST2024),State abbreviation (HD2024),
418515,Lenape Technical School Practical Nursing Program,,,,,,,PA,
213570,Lincoln Technical Institute-Allentown,,,,,,,PA,
213589,Lincoln Technical Institute-Philadelphia,,,,,,,PA,
213598,Lincoln University,29069,29069,30141,30141,20465,20465,PA,
213659,Luzerne County Community College,,,21258,26088,16458,21288,PA,
213668,Lycoming College,68111,68111,68979,68979,59089,59089,PA,
213774,Manor College,36770,36770,34360,34360,26680,26680,PA,
213826,Marywood University,61294,61294,60360,60360,50472,50472,PA,
213987,Mercyhurst University,63779,63779,61269,61269,49239,49239,PA,
213996,Messiah University,59478,59478,60998,60998,56800,56800,PA,
457952,Metro Beauty Academy,,,,,,,PA,
418481,Mifflin County Academy of Science and Technology,,,,,,,PA,
213534,Miller-Motte College-Berks Technical Institute,,,,,,,PA,
456579,Miller-Motte College-McCann-Allentown,,,,,,,PA,
438221,Miller-Motte College-McCann-Lewisburg,,,,,,,PA,
214041,Millersville University of Pennsylvania,28358,28358,28088,28088,22228,22228,PA,
214069,Misericordia University,59276,59276,54745,54745,50745,50745,PA,
211130,Missio Theological Seminary,,,,,,,PA,
500412,Modern Male Barber Academy,,,,,,,PA,
214111,Montgomery County Community College,,,27916,33196,20626,25906,PA,
214148,Moore College of Art and Design,76296,76296,75312,75312,60873,60873,PA,
214157,Moravian University,77280,77280,73334,73334,68070,68070,PA,
214166,Mount Aloysius College,47086,47086,43146,43146,36924,36924,PA,
214175,Muhlenberg College,81003,81003,81003,81003,68771,68771,PA,
214272,Neumann University,59180,59180,61940,61940,46020,46020,PA,
214290,New Castle School of Trades,,,,,,,PA,
214379,Northampton County Area Community College,25428,31248,26700,32520,21778,27598,PA,
494959,Northern Pennsylvania Regional College,,,16503,16863,10880,11240,PA,
418588,Northern Tier Career Center,,,,,,,PA,
214528,Orleans Technical College,,,,,,,PA,
214883,Peirce College,,,26860,26860,22460,22460,PA,
214892,Penn Commercial Business/Technical School,,,28304,28304,24704,24704,PA,
214944,Pennco Tech-Bristol,,,,,,,PA,
214971,Pennsylvania Academy of the Fine Arts,,,71438,71438,52776,52776,PA,
215053,Pennsylvania College of Art and Design,52230,52230,52230,52230,37300,37300,PA,
366252,Pennsylvania College of Technology,35408,35408,35408,35408,23590,23590,PA,
215008,Pennsylvania Gunsmith School,,,,,,,PA,
414911,Pennsylvania Highlands Community College,,,17110,19540,13660,16090,PA,
214582,Pennsylvania Institute of Technology,,,33250,33250,19750,19750,PA,
214661,Pennsylvania State System of Higher Education-Central Office,,,,,,,PA,
214777,Pennsylvania State University-Main Campus,41338,41338,42138,42138,40354,40354,PA,
214801,Pennsylvania State University-Penn State Abington,35962,35962,36762,36762,34978,34978,PA,
214689,Pennsylvania State University-Penn State Altoona,36666,36666,37466,37466,35682,35682,PA,
214698,Pennsylvania State University-Penn State Beaver,35102,35102,35902,35902,34118,34118,PA,
214704,Pennsylvania State University-Penn State Berks,36666,36666,37466,37466,35682,35682,PA,
214731,Pennsylvania State University-Penn State Brandywine,35902,35902,36702,36702,34918,34918,PA,
214740,Pennsylvania State University-Penn State DuBois,,,35902,35902,34118,34118,PA,
214591,Pennsylvania State University-Penn State Erie-Behrend College,36666,36666,37466,37466,35682,35682,PA,
214759,Pennsylvania State University-Penn State Fayette- Eberly,,,35902,35902,34118,34118,PA,
214607,Pennsylvania State University-Penn State Great Valley,,,,,,,PA,
214786,Pennsylvania State University-Penn State Greater Allegheny,35102,35102,35902,35902,34118,34118,PA,
214713,Pennsylvania State University-Penn State Harrisburg,36666,36666,37466,37466,35682,35682,PA,
214768,Pennsylvania State University-Penn State Hazleton,35902,35902,36702,36702,34918,34918,PA,
214670,Pennsylvania State University-Penn State Lehigh Valley,,,36702,36702,34918,34918,PA,
214795,Pennsylvania State University-Penn State Mont Alto,35102,35102,35902,35902,34118,34118,PA,
214625,Pennsylvania State University-Penn State New Kensington,,,35902,35902,34118,34118,PA,
214810,Pennsylvania State University-Penn State Schuylkill,35902,35902,36702,36702,34918,34918,PA,
214652,Pennsylvania State University-Penn State Scranton,,,36702,36702,34918,34918,PA,
214634,Pennsylvania State University-Penn State Shenango,,,35518,35518,33734,33734,PA,
214643,Pennsylvania State University-Penn State Wilkes-Barre,,,35774,35774,33990,33990,PA,
214829,Pennsylvania State University-Penn State York,,,36702,36702,34918,34918,PA,
479956,Pennsylvania State University-World Campus,,,36850,36850,35066,35066,PA,
