"Sector","College","Type","County","zip code","Address","Latitude","Longitude","Georeferenced Latitude & Longitude","Sector and Type"
"Community College","CCP-Advanced Technology Center","Off-Campus Operation","Philadelphia","19139","4750 Market Street, Philadelphia, PA 19139","39.9586559","-75.2167086","POINT (-75.2167086 39.9586559)","Community College - Off-Campus"
"Community College","HACC-Business Central","Off-Campus Operation","Cumberland","17013","14­20 N. Hanover Street Carlisle, PA  17013","40.2015825","-77.1891025","POINT (-77.1891025 40.2015825)","Community College - Off-Campus"
"Community College","Butler CC-Brockway","Off-Campus Operation","Jefferson","15824","1200 Wood Street, Brockway, PA 15824","41.250189","-78.789857","POINT (-78.789857 41.250189)","Community College - Off-Campus"
"Private College/University","Drexel University","Main Campus Location","Philadelphia","19104","3141 Chestnut St, Philadelphia, PA 19104","39.9569305","-75.1899265","POINT (-75.1899265 39.9569305)","Private College/University - Main Campus"
"Rural Regional College","NPRC-Saegertown","Off-Campus Operation","Crawford","16433",,,,,"Rural Regional College - Off-Campus"
"Community College","Delaware CC-Upper Darby","Off-Campus Operation","Delaware","19082","1570 Garrett Road, Upper Darby, PA 19082","39.9551741","-75.2739826","POINT (-75.2739826 39.9551741)","Community College - Off-Campus"
"PASSHE","Pennsylvania Western University-Clarion","Main Campus Location","Clarion","16214","840 Wood St, Clarion, PA 16214","41.2111645","-79.380399","POINT (-79.380399 41.2111645)","PASSHE - Main Campus"
"Private College/University","Johnson College - Hazleton","Off-Campus Operation","Luzerne","18202","370 Maplewood Dr, Hazle Township, PA 18202","40.92498455","-76.04019578","POINT (-76.04019578 40.92498455)","Private College/University - Off-Campus"
"State-Related Commonwealth University","Penn State Dubois","Branch Campus","Clearfield","15801","1 College Place, DuBois, PA 15801","41.1272706","-78.7514305","POINT (-78.7514305 41.1272706)","State-Related Commonwealth University - Branch Campus"
"Private College/University","Reconstructionist Rabbinical College","Main Campus Location","Montgomery","19095","1299 Church Rd, Wyncote, PA 19095","40.0876739","-75.1494095","POINT (-75.1494095 40.0876739)","Private College/University - Main Campus"
"State-Related Commonwealth University","Penn State University","Main Campus Location","Centre","16802","201 Old Main, University Park, Pennsylvania 16802","40.79643963","-77.86278919","POINT (-77.86278919 40.79643963)","State-Related Commonwealth University - Main Campus"
"Private College/University","Manor College","Main Campus Location","Montgomery","19046","700 Fox Chase Rd, Jenkintown, PA 19046","40.0881075","-75.1052795","POINT (-75.1052795 40.0881075)","Private College/University - Main Campus"
"Private College/University","Washington and Jefferson College","Main Campus Location","Washington","15301","60 S Lincoln St, Washington, PA 15301","40.1706148","-80.2410941","POINT (-80.2410941 40.1706148)","Private College/University - Main Campus"
"PASSHE","Indiana University of PA - Northpointe","Branch Campus","Armstrong","16229","167 Northpointe Blvd, Freeport, PA 16229","40.75634911","-79.64108441","POINT (-79.64108441 40.75634911)","PASSHE - Branch Campus"
"Community College","Westmoreland County Community College","Main Campus Location","Westmoreland","15697","145 Pavilion Lane, Youngwood, PA 15697","40.23421452","-79.5653849","POINT (-79.5653849 40.23421452)","Community College - Main Campus"
"Private College/University","Harcum College","Main Campus Location","Montgomery","19010","750 Montgomery Ave, Bryn Mawr, PA 19010","40.0215652","-75.3133409","POINT (-75.3133409 40.0215652)","Private College/University - Main Campus"
